Advertiser_Name,party
MCCREADY FOR CONGRESS,D
MCKINLEY FOR CONGRESS,R
MCSALLY FOR SENATE INC,R
MEDIA MATTERS FOR AMERICA,D
MICK RICH FOR US SENATE,R
MIKE BOST FOR CONGRESS COMMITTEE,R
MJ FOR TEXAS,D
MONTANANS FOR TESTER,D
MORRISEY FOR SENATE INC,R
MOULTON FOR CONGRESS,D
NARAL PRO-CHOICE AMERICA,D
"NATURAL RESOURCES DEFENSE COUNCIL, INC.",D
Need to Impeach,D
NEXTGEN CLIMATE ACTION COMMITTEE,D
NRCC,R
NRSC,R
O'CONNOR FOR CONGRESS,D
OHIO DEMOCRATIC PARTY,D
ONE NATION,R
PATIENTS FOR AFFORDABLE DRUGS ACTION,D
PATRIOTIC AMERICANS PAC,R
PAUL DAVIS FOR KANSAS,D
PENSLER FOR SENATE,R
PERRY GERSHON FOR CONGRESS,D
PETE STAUBER FOR CONGRESS VOLUNTEER COMMITTEE,R
PLANNED PARENTHOOD ACTION FUND INC,D
"PLANNED PARENTHOOD FEDERATION OF AMERICA, INC.",D
POLIS FOR COLORADO,D
PRIORITIES USA ACTION,D
PRIORITIES USA ACTION & HOUSE MAJORITY PAC,D
PRIORITIES USA ACTION & SMP,D
PROTECT FREEDOM POLITICAL ACTION COMMITTEE INC,R
RADINOVICH FOR CONGRESS,D
Randy Boyd for Governor,R
RANDY BRYCE FOR CONGRESS,D
RENACCI FOR SENATE,R
REPUBLICAN MAJORITY FUND,R
REPUBLICAN NATIONAL COMMITTEE,R
REPUBLICAN PARTY OF IOWA,R
Resonate Networks Inc,NA
RESTORATION PAC,R
RICK SCOTT FOR FLORIDA,R
ROB WITTMAN FOR CONGRESS,R
ROMNEY FOR UTAH INC,R
RON ESTES FOR CONGRESS,R
ROSEN FOR NEVADA,D
ROSKAM FOR CONGRESS COMMITTEE,R
RUFUS GIFFORD FOR CONGRESS,D
"Salem Web Network, LLC",R
SAM GRAVES VICTORY FUND,R
SCALISE FOR CONGRESS,R
SCOTT WALLACE FOR CONGRESS,D
"Semcasting, INC.",NA
SENATE LEADERSHIP FUND,R
SERVE AMERICA PAC,D
SINEMA FOR ARIZONA,D
SIXTEEN THIRTY FUND,D
"SMART MEDIA, LLC",NA
SMP,D
STABENOW FOR US SENATE,D
"STEIL FOR WISCONSIN, INC.",R
STEWART FOR SENATE INC,R
STIVERS FOR CONGRESS,R
SUSIE LEE FOR CONGRESS,D
TAMMY BALDWIN FOR SENATE,D
TARKANIAN FOR CONGRESS,R
"TBP Productions, LLP",D
TED CRUZ FOR SENATE,R
TEDESCHI FOR CONGRESS,R
TENNESSEE JOBS NOW,R
THE COMMITTEE TO DEFEND THE PRESIDENT,R
THE COMMITTEE TO ELECT AYANNA PRESSLEY,D
TIFFANY SHEDD FOR CONGRESS COMMITTEE,R
TINA SMITH FOR MINNESOTA,D
TOM MACARTHUR FOR CONGRESS INC.,D
TOM MALINOWSKI FOR CONGRESS,D
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,R
TULSI FOR HAWAI'I,D
VAL DEMINGS FOR CONGRESS,D
VERN BUCHANAN FOR CONGRESS,R
VIRGINIA FOXX FOR CONGRESS,R
WALDEN FOR CONGRESS,R
WALORSKI FOR CONGRESS INC,R
WALTERS FOR CONGRESS,D
WENDYROGERS.ORG,R
WICKER FOR SENATE,R
WINNING FOR WOMEN INC.,R
"WINNING FOR WOMEN, INC. PAC",R
"WITH HONOR FUND, INC.",I
WOMEN VOTE!,D
