Advertiser_Name,party
HOUSLEY FOR SENATE COMMITTEE,R
HUDSON FOR CONGRESS,R
"HUFFINES, DONALD",R
HUIZENGA FOR CONGRESS,R
Hurd for Congress,R
IAN TODD FOR CONGRESS,D
ILHAN FOR CONGRESS,D
ILLINOIS REPUBLICAN PARTY,R
"IMM, LLC",NA
INDIANA DEMOCRATIC PARTY,D
Inside Out Consulting LLC,NA
INTEGRITY NJ,R
JAIME FOR CONGRESS,R
JANET NGUYEN FOR SENATE 2018,R
JASON CROW FOR CONGRESS,D
"JASON LEWIS FOR CONGRESS, INC.",R
JASON RITTEREISER FOR CONGRESS,D
JEFF GREENE FOR GOVERNOR,D
JEFF MERKLEY FOR OREGON,D
JESSICA MORSE FOR CONGRESS,R
JOE CUNNINGHAM FOR CONGRESS,D
JOE MORELLE FOR CONGRESS,D
JOHN CARTER FOR CONGRESS,R
JOHN JAMES FOR SENATE INC,R
JOHN KINGSTON FOR SENATE INC,R
JOHN ROSE FOR TENNESSEE,R
JOSH GOTTHEIMER FOR CONGRESS,D
JOSH HARDER FOR CONGRESS,D
JOSH HAWLEY FOR SENATE,R
JUDICIAL CRISIS NETWORK,R
JUDICIAL WATCH INC,R
KAINE FOR VIRGINIA,D
KAMALA HARRIS FOR SENATE,D
KANEW FOR CONGRESS,D
Kansas Republican Party,R
KATHY MANNING FOR CONGRESS,D
KATIE ARRINGTON FOR CONGRESS,R
KATIE HILL FOR CONGRESS,D
KATKO FOR CONGRESS,R
KEN CALVERT FOR CONGRESS COMMITTEE,R
KEN HARBAUGH FOR CONGRESS,D
"KEVIN ABEL FOR CONGRESS, INC.",D
KIND FOR CONGRESS COMMITTEE,D
KIRKPATRICK FOR CONGRESS,D
KLOBUCHAR FOR MINNESOTA,D
KOHL VICTORY FUND,D
"KUSTER FOR CONGRESS, INC",D
KUSTOFF FOR CONGRESS,R
LASHAR FOR CONGRESS,L
LATINO VICTORY FUND,D
LAUREN BAER FOR CONGRESS,D
LAUREN UNDERWOOD FOR CONGRESS,D
LCV VICTORY FUND,D
LEA MARQUEZ PETERSON FOR CONGRESS,R
LEAH FOR SENATE,D
LENA FOR CONGRESS,R
LGBTQ VICTORY FUND FEDERAL PAC,D
LISA BROWN FOR CONGRESS,D
LOU BARLETTA FOR SENATE,R
MAJORITY FORWARD,D
MALONEY FOR NEW YORK,D
"Manhattan Institute for Policy Research, Inc.",I
MARCO RUBIO FOR SENATE,R
MARGARET FOR CONGRESS,D
Mari Manoogian Friends Of,D
MARSHA FOR SENATE,R
MARTHA ROBY FOR CONGRESS,R
MARTIN HEINRICH FOR SENATE,D
MARTY FOR CONGRESS INC,R
MARY BARZEE FLORES FOR CONGRESS,D
MAST FOR CONGRESS,R
MATT CALDWELL CAMPAIGN,R
MATT HAGGMAN FOR CONGRESS,D
Matt Rosendale for Montana,R
MAX ROSE FOR CONGRESS,D
MCCASKILL FOR MISSOURI,D
MCCONNELL SENATE COMMITTEE,R
MCCREADY FOR CONGRESS,D
MCKINLEY FOR CONGRESS,R
MCSALLY FOR SENATE INC,R
MCSHANE LLC,NA
MEDIA MATTERS FOR AMERICA,D
MEL HALL FOR CONGRESS,D
MICK RICH FOR US SENATE,R
MIKE BISHOP FOR CONGRESS,R
MIKE BOST FOR CONGRESS COMMITTEE,R
MIKE BRAUN FOR INDIANA,R
MIKIE SHERRILL FOR CONGRESS,D
MJ FOR TEXAS,D
MONOCLE CONSULTING LLC,NA
MONTANANS FOR TESTER,D
MORRISEY FOR SENATE INC,R
MOULTON FOR CONGRESS,D
NARAL PRO-CHOICE AMERICA,D
"NATURAL RESOURCES DEFENSE COUNCIL, INC.",D
NEAL SIMON FOR U.S. SENATE,I
Need to Impeach,D
"New Mexicans for Michelle, Inc.",D
NEW YORK STATE DEMOCRATIC COMMITTEE,D
NEXTGEN CLIMATE ACTION COMMITTEE,D
NJ7 CITIZENS FOR CHANGE,D
NRCC,R
NYS SENATE REPUBLICAN CAMPAIGN COMMITTEE,R
O'CONNOR FOR CONGRESS,D
OHIO DEMOCRATIC PARTY,D
OLSON FOR CONGRESS COMMITTEE,R
ONE NATION,R
One Nation,R
OSMACK FOR MISSOURI,D
PATIENTS FOR AFFORDABLE DRUGS ACTION,D
PATRIOTIC AMERICANS PAC,R
PAUL DAVIS FOR KANSAS,D
PENSLER FOR SENATE,R
PEOPLE OVER POLITICS,I
"PERFORMANCE MEDIA MARKETING, INC",NA
PERRY GERSHON FOR CONGRESS,D
PETE STAUBER FOR CONGRESS VOLUNTEER COMMITTEE,R
PLANNED PARENTHOOD ACTION FUND INC,D
PLANNED PARENTHOOD ADVOCATES OF WISCONSIN INC,D
"PLANNED PARENTHOOD FEDERATION OF AMERICA, INC.",D
POLIS FOR COLORADO,D
POLITICAL ACTION COMMITTEE OF THE AMERICAN ASSOCIATION OF  ORTHOPAEDIC SURGEONS--PAC OF AAOS,R
PRIORITIES USA ACTION,D
PRIORITIES USA ACTION & HOUSE MAJORITY PAC,D
PRIORITIES USA ACTION & SMP,D
PROGRESS TOMORROW INC,NA
PROTECT FREEDOM POLITICAL ACTION COMMITTEE INC,R
RADINOVICH FOR CONGRESS,D
Randy Boyd for Governor,R
RANDY BRYCE FOR CONGRESS,D
RANDY HULTGREN FOR CONGRESS,R
RENACCI FOR SENATE,R
REPUBLICAN MAJORITY FUND,R
REPUBLICAN NATIONAL COMMITTEE,R
REPUBLICAN NATIONAL SENATORIAL INDEPENDENT EXPENDITURE COMMITTEE,R
REPUBLICAN PARTY OF IOWA,R
REPUBLICAN PARTY OF WISCONSIN,R
Resonate Networks Inc,NA
RESONATE NETWORKS INC,NA
RESTORATION PAC,R
RICK GREEN FOR CONGRESS,R
RICK SCOTT FOR FLORIDA,R
ROB WITTMAN FOR CONGRESS,R
ROB WOODALL FOR CONGRESS,R
ROMNEY FOR UTAH INC,R
RON ESTES FOR CONGRESS,R
ROSEN FOR NEVADA,D
ROSKAM FOR CONGRESS COMMITTEE,R
RUFUS GIFFORD FOR CONGRESS,D
SABER COMMUNICATIONS INC,NA
"Salem Web Network, LLC",R
SAM GRAVES VICTORY FUND,R
"Sandoval Creative, INC",NA
SCALISE FOR CONGRESS,R
SCHIFF FOR CONGRESS,D
SCOTT WALLACE FOR CONGRESS,D
SEAN FLYNN FOR CONGRESS,R
"Semcasting, INC.",NA
SENATE LEADERSHIP FUND,R
SERVE AMERICA PAC,D
SIERRA CLUB,D
SINEMA FOR ARIZONA,D
SIXTEEN THIRTY FUND,D
"SMART MEDIA, LLC",NA
SMP,D
SPANBERGER FOR CONGRESS,D
STABENOW FOR US SENATE,D
"STEIL FOR WISCONSIN, INC.",R
STEWART FOR SENATE INC,R
STITT FOR GOVERNOR 2018,R
STIVERS FOR CONGRESS,R
SUSAN WILD FOR CONGRESS,D
SUSIE LEE FOR CONGRESS,D
SWING LEFT,D
TAMMY BALDWIN FOR SENATE,D
TARKANIAN FOR CONGRESS,R
"TBP Productions, LLP",D
TEAM STAVA-MURRAY,D
TED CRUZ FOR SENATE,R
TEDESCHI FOR CONGRESS,R
TENNESSEE JOBS NOW,R
TENNESSEE REPUBLICAN PARTY FEDERAL ELECTION ACCOUNT,R
THE COMMITTEE TO DEFEND THE PRESIDENT,R
THE COMMITTEE TO ELECT AYANNA PRESSLEY,D
The Rhode Island Coalition Against Gun Violence,D
TIFFANY SHEDD FOR CONGRESS COMMITTEE,R
TINA SMITH FOR MINNESOTA,D
TOM MACARTHUR FOR CONGRESS INC.,D
TOM MALINOWSKI FOR CONGRESS,D
TRAUNER FOR THE PEOPLE OF WYOMING,D
TREY FOR CONGRESS,R
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,R
TULSI FOR HAWAI'I,D
UPTON FOR ALL OF US,R
VAL DEMINGS FOR CONGRESS,D
VAN TAYLOR CAMPAIGN,R
VERN BUCHANAN FOR CONGRESS,R
VIRGINIA FOXX FOR CONGRESS,R
VOTEVETS.ORG ACTION FUND,D
WALDEN FOR CONGRESS,R
WALORSKI FOR CONGRESS INC,R
WALTERS FOR CONGRESS,D
WENDYROGERS.ORG,R
WEST VIRGINIAS FUTURE PAC,R
WICKER FOR SENATE,R
WINNING FOR WOMEN INC.,R
WISCONSIN NEXT PAC,R
"WITH HONOR FUND, INC.",I
WOMEN VOTE!,D
Working Families Party,NA
"YODER FOR CONGRESS, INC",R
"YOUNG FOR IOWA, INC.",R
YOUNG KIM FOR CONGRESS,R
ZELDIN FOR CONGRESS,R
NRSC,R
